itemID	titleID	item_year	title	subject	taxa_identified	language	pages	BHL_upload
259136	11273	1885	Jelly-fish, star-fish, and sea urchins : being a research on primitive nervous systems		41	ENG	360	2018
85434	38186	1934	Dynamic oceanographic data for the central eastern Pacific Ocean collected by the U.S.S. "Hannibal" and the yacht "Velero III" and surface temperature and salinity data for the eastern Pacific ocean collected by U.S. naval vessels. 		1	ENG	64	2009
247565	147065	1873	British marine algae : being a popular account of the seaweeds of Great Britain, their collection and preservation	Marine algae	450	ENG	252	2018
212269	121444	1923	Whitney South Sea Expedition of the American Museum of Natural History.		14	ENG	590	2016
47495	13259	1883	Literature of sea and river fishing		43	ENG	172	2009
54424	15915	1888	Annual report of the Commissioners of Inland Fisheries made to the General Assembly		0	ENG	22	2009
86257	38831	1888	The fisheries treaty speech of Hon. George F. Hoar, of Massachusetts, in the Senate of the United States, Tuesday, July 10, 1888. 		19	ENG	79	2009
257150	153033	1858	Sea-side studies : at Ilfracombe, Tenby, the Scilly Isles, & Jersey	Marine animals	191	ENG	450	2018
219526	126552	1878	Hydrographic sheet, deep sea, 1878-1879	Marine invertebrates	0	ENG	12	2017
179089	100019	1945	Distributional list of the west American marine mollusks from San Diego, California, to the Polar Sea.		1123	ENG	470	2015
177321	98583	1909	No 11, 5519-5564	Marine biology	1		104	2015
57631	18179	1873	Apuntes bibliografico-forestales, ó sea Breve resúmen de los libros, folletos, artículos, impresos, manuscritos, mapas, planos y demás trabajos originales, ó traducidos por autores españoles, relativos á la cria, cultivo, aprovechamiento, administracion, legislacion y economía de los montes, arbolados, plantíos, prados, caza y pesca. 		235	SPA	344	2009
85354	38118	1946	Density of sea water at Coast and Geodetic Survey tide stations : Pacific Ocean. 		2	ENG	36	2009
197718	1597	1862	Reise der österreichischen Fregatte Novara um die Erde in den Jahren 1857, 1858, 1859 unter den Befehlen des Commodore B. von Wüllerstorf-Urbair.	Marine meteorology	70	GER	586	2016
47135	6513	1881	Report on the scientific results of the voyage of H.M.S. Challenger during the years 1873-76 under the command of Captain George S. Nares ... and the late Captain Frank Tourle Thomson, R.N.	Marine animals	200	ENG	224	2009
99713	45888	1950	Commercial fisheries review.		13	ENG	76	2010
77916	10543	1879	Manual of conchology, structural and systematic : with illustrations of the species	Marine invertebrates	1161	ENG	464	2009
61397	21262	1907	Annual report of the Game and Fisheries Department of Ontario.  		20	ENG	548	2009
194568	1597	1868	Reise der österreichischen Fregatte Novara um die Erde in den Jahren 1857, 1858, 1859 unter den Befehlen des Commodore B. von Wüllerstorf-Urbair.	Marine meteorology	158	GER	790	2016
84628	37868	1913	Rapports et procès-verbaux des réunions	Marine biology	76	FRE	392	2009
177330	98590	1882	Original logbooks of the "Fish Hawk" United States Fish Commission station records, numbers 1074 to 1122	Marine invertebrates	1		103	2015
16578	6513	1883	Report on the scientific results of the voyage of H.M.S. Challenger during the years 1873-76 under the command of Captain George S. Nares ... and the late Captain Frank Tourle Thomson, R.N.	Marine animals	710	ENG	714	2008
257199	153079	1871	Life beneath the waves and a description of the Brighton Aquarium : with numerous illustrations, including a ground plan of the aquarium and view of the largest tank.	Marine animals	19	ENG	142	2018
177197	98508	1909	No 9, from d 5431 to d 5475, from h 4930	Marine biology	1		100	2015
201559	116065	1905	Biennial report of the Commissioners of Fisheries of the State of Wisconsin.		45	ENG	154	2016
102819	47780	1928	Report of the International Ice Patrol service in the North Atlantic Ocean		4	ENG	106	2010
17305	6206	1941	The Biological bulletin	Marine biology	495	ENG	160	2008
50970	14647	1919	Fishery Board for Scotland. Scientific investigations.		25	ENG	562	2009
177063	98440	1898	1898, 1928 to 1977	Marine invertebrates	0		101	2015
177202	98512	1916	H 6887 to h 6934	Marine biology	1		103	2015
38955	9502	1951	Fishery leaflet		53	ENG	36	2008
130560	64366	1883	The flowers of the sea : in picture and verse.	Marine algae in literature	0	ENG	24	2013
87555	39476	1960	The sea off southern California; a modern habitat of petroleum. 	Submarine geology	288	ENG	392	2009
82353	33985	1872	Transactions - American Fisheries Society.  		9	ENG	80	2009
18740	2169	1900	Résultats des campagnes scientifiques accomplies sur son yacht par Albert Ier, prince souverain de Monaco ...	Marine animals	612	FRE	284	2008
220209	127058	1880	Hydrographic sheet, no. 1477, 1880	Marine invertebrates	0	ENG	1	2017
241097	142336	1932	Waldo L. Schmitt Papers : field notes, Tortugas (notes transferred to diary), 1932.	Marine biology	0	ENG	57	2017
22382	3973	1849	A manual of the British marine Algae...		486	ENG	426	2008
119074	2169	1923	Résultats des campagnes scientifiques accomplies sur son yacht par Albert Ier, prince souverain de Monaco ...	Marine animals	55	FRE	192	2012
130418	64252	1877	Ueber die Algenvegetation des Murmanschen Meeres an der Westküste von Nowaja Semlja und Wajgatsch	Marine algae	226	GER	90	2013
174287	96167	1857	A residence among the Chinese : inland, on the coast, & at sea ... during a third visit to China, from 1853 to 1856 : Including notices of many natural productions		64	ENG	476	2014
18684	2171	1906	Wissenschaftliche Ergebnisse der Deutschen Tiefsee-Expedition auf dem Dampfer "Valdivia" 1898-1899	Marine animals	323	GER	148	2008
82346	33985	1872	Transactions - American Fisheries Society.  		146	ENG	456	2009
18454	11627	1902	Marine investigations in South Africa	Marine biology	1231	ENG	304	2008
220210	127059	1881	Hydrographic sheet, no. 1488, 1881	Marine invertebrates	0	ENG	1	2017
99387	45888	1958	Commercial fisheries review.		95	ENG	130	2010
56959	11139	1853	Reports of explorations and surveys, to ascertain the most practicable and economical route for a railroad from the Mississippi River to the Pacific Ocean		44	ENG	816	2009
38987	9502	1947	Fishery leaflet		48	ENG	18	2008
123953	50708	1951	Atoll research bulletin.	Marine biology	578	ENG	684	2012
209121	119687	1861	Recherches sur la faune littorale de Belgique : crustacés	Marine fauna	239	FRE	282	2016
220928	127472	1883	Hydrographic sheet, no. 1548, 1883	Marine invertebrates	0	ENG	1	2017
31136	2169	1921	Résultats des campagnes scientifiques accomplies sur son yacht par Albert Ier, prince souverain de Monaco ...	Marine animals	56	FRE	66	2008
74880	31049	1830	The British naturalist, or, Sketches of the more interesting productions of Britain and the surrounding sea : in the scenes which they inhabit, and with relation to the general economy of nature, and the wisdom and power of its Author. 		23	ENG	408	2009
241785	142821	1959	National Museum of Natural History (U.S.) Pacific Ocean Biological Survey Program field research records, 1961-1973 : fish and wildlife, reports and notes.		27	ENG	18	2017
18248	2035	1905	Report to the government of Ceylon on the pearl oyster fisheries of the gulf of Manaar	Marine biology	1175		416	2008
31697	2169	1920	Résultats des campagnes scientifiques accomplies sur son yacht par Albert Ier, prince souverain de Monaco ...	Marine animals	8	FRE	124	2008
29744	15915	1893	Annual report of the Commissioners of Inland Fisheries made to the General Assembly		0	ENG	30	2008
177181	98494	1908	No 6, from d 5304 to d 5345	Marine biology	2		105	2015
